,Inning,TopBottom,1B,2B,3B,Score,Outs,P,b1,b2,b3,WE_0,avg_runs,avg_wins,WPA,Scenario
605,8,Top,0,1,0,1,0,L,L,R,R,0.605,1.17792845,0.6114995,0.0064995,0100LRR8L
227,8,Top,1,1,1,1,1,R,L,R,R,0.516,1.5026055,0.54105,0.02505,1111LRR8R
259,9,Top,1,1,1,1,2,R,L,R,L,0.762,0.6835858,0.778734,0.016734,1112LRL9R
577,9,Top,1,0,0,1,0,L,L,R,R,0.725,0.81727575,0.7399115,0.0149115,1000LRR9L
498,9,Top,1,1,0,1,2,L,R,L,R,0.859,0.4446521,0.850342,-0.008658,1102RLR9L
313,8,Top,1,0,0,1,0,R,L,L,L,0.664,0.80733875,0.743142,0.079142,1000LLL8R
511,8,Top,0,0,1,1,0,L,R,L,R,0.542,1.4163448,0.5227205,-0.0192795,0010RLR8L
551,9,Top,0,0,1,1,2,L,R,L,L,0.867,0.331462,0.881217,0.014217,0012RLL9L
603,8,Top,1,1,1,1,0,L,L,R,R,0.371,2.37698955,0.3123855,-0.0586145,1110LRR8L
338,9,Top,1,1,0,1,0,R,L,L,R,0.559,1.3844969,0.574147,0.015147,1100LLR9R
578,9,Top,1,1,0,1,0,L,L,R,R,0.559,1.39723765,0.5704715,0.0114715,1100LRR9L
326,8,Top,0,1,1,1,1,R,L,L,L,0.534,1.4021738,0.5130065,-0.0209935,0111LLL8R
346,9,Top,1,1,0,1,1,R,L,L,R,0.715,0.8222436,0.736018,0.021018,1101LLR9R
657,8,Top,1,0,0,1,1,L,L,R,L,0.744,0.4771047,0.8392465,0.0952465,1001LRL8L
312,8,Top,0,0,0,1,0,R,L,L,L,0.753,0.47154975,0.8487155,0.0957155,0000LLL8R
333,8,Top,0,1,0,1,2,R,L,L,L,0.788,0.3132837,0.881051,0.093051,0102LLL8R
548,9,Top,1,0,1,1,2,L,R,L,L,0.833,0.42835465,0.856585,0.023585,1012RLL9L
301,9,Top,0,1,0,1,1,R,L,L,L,0.773,0.63911705,0.781675,0.008675,0101LLL9R
435,9,Top,1,1,1,1,0,L,R,R,L,0.356,2.3326866,0.318149,-0.037851,1110RRL9L
201,9,Top,1,0,0,1,1,R,L,R,R,0.829,0.46217215,0.842923,0.013923,1001LRR9R
416,8,Top,0,0,0,1,1,L,R,R,R,0.806,0.26994655,0.9087625,0.1027625,0001RRR8L
369,8,Top,1,0,0,1,1,R,L,L,R,0.744,0.47836325,0.8399095,0.0959095,1001LLR8R
315,8,Top,1,1,1,1,0,R,L,L,L,0.371,2.29077995,0.32331,-0.04769,1110LLL8R
609,8,Top,1,0,0,1,1,L,L,R,R,0.744,0.47068925,0.8431975,0.0991975,1001LRR8L
211,9,Top,1,1,1,1,2,R,L,R,R,0.762,0.73266065,0.764606,0.002606,1112LRR9R
438,9,Top,0,1,1,1,0,L,R,R,L,0.39,2.15300205,0.2924965,-0.0975035,0110RRL9L
554,8,Top,1,1,0,1,0,L,R,L,L,0.534,1.4271548,0.5595335,0.0255335,1100RLL8L
555,8,Top,1,1,1,1,0,L,R,L,L,0.371,2.37904375,0.303623,-0.067377,1110RLL8L
345,9,Top,1,0,0,1,1,R,L,L,R,0.829,0.44234305,0.850242,0.021242,1001LLR9R
574,8,Top,0,1,1,1,2,L,R,L,L,0.718,0.5739288,0.791639,0.073639,0112RLL8L
471,8,Top,0,0,1,1,1,L,R,R,L,0.632,1.03537885,0.6370615,0.0050615,0011RRL8L
517,8,Top,0,1,0,1,1,L,R,L,R,0.702,0.6542051,0.7755745,0.0735745,0101RLR8L
457,8,Top,1,0,0,1,0,L,R,R,L,0.664,0.8537718,0.729757,0.065757,1000RRL8L
430,8,Top,0,1,1,1,2,L,R,R,R,0.718,0.5714689,0.7958545,0.0778545,0112RRR8L
236,8,Top,1,0,1,1,2,R,L,R,R,0.746,0.3959966,0.8631595,0.1171595,1012LRR8R
589,9,Top,0,1,0,1,1,L,L,R,R,0.773,0.62975365,0.782342,0.009342,0101LRR9L
480,9,Top,0,0,0,1,0,L,R,L,R,0.841,0.49922175,0.840435,-0.000565,0000RLR9L
405,9,Top,0,1,0,1,2,L,R,R,R,0.887,0.32438685,0.8847935,-0.0022065,0102RRR9L
302,9,Top,0,1,1,1,1,R,L,L,L,0.552,1.41524115,0.5149545,-0.0370455,0111LLL9R
516,8,Top,1,0,1,1,1,L,R,L,R,0.586,1.06229905,0.647083,0.061083,1011RLR8L
582,9,Top,0,1,1,1,0,L,L,R,R,0.39,2.14467665,0.2957795,-0.0942205,0110LRR9L
258,9,Top,1,1,0,1,2,R,L,R,L,0.859,0.41896075,0.857812,-0.001188,1102LRL9R
627,9,Top,1,1,1,1,0,L,L,R,L,0.356,2.3597486,0.3136615,-0.0423385,1110LRL9L
375,8,Top,0,0,1,1,1,R,L,L,R,0.632,1.015055,0.6425875,0.0105875,0011LLR8R
408,8,Top,0,0,0,1,0,L,R,R,R,0.753,0.4920868,0.8422045,0.0892045,0000RRR8L
156,9,Top,1,0,1,1,1,R,R,L,L,0.62,1.07924005,0.6428695,0.0228695,1011RLL9R
425,8,Top,1,0,0,1,2,L,R,R,R,0.816,0.1944734,0.932354,0.116354,1002RRR8L
325,8,Top,0,1,0,1,1,R,L,L,L,0.702,0.6132318,0.790083,0.088083,0101LLL8R
750,8,Top,0,1,1,1,0,L,L,L,R,0.409,2.1033831,0.3007485,-0.1082515,0110LLR8L
600,8,Top,0,0,0,1,0,L,L,R,R,0.753,0.4760552,0.8477655,0.0947655,0000LRR8L
492,9,Top,1,0,1,1,1,L,R,L,R,0.62,1.045237,0.6525315,0.0325315,1011RLR9L
549,9,Top,0,1,0,1,2,L,R,L,L,0.887,0.3471594,0.87757,-0.00943,0102RLL9L
586,9,Top,1,1,0,1,1,L,L,R,R,0.715,0.86025665,0.726972,0.011972,1101LRR9L
445,9,Top,0,1,0,1,1,L,R,R,L,0.773,0.66122635,0.773405,0.000405,0101RRL9L
441,9,Top,1,0,0,1,1,L,R,R,L,0.829,0.46777075,0.842234,0.013234,1001RRL9L
306,9,Top,1,1,0,1,2,R,L,L,L,0.859,0.40562275,0.865169,0.006169,1102LLL9R
248,9,Top,0,0,0,1,1,R,L,R,L,0.912,0.23969145,0.919225,0.007225,0001LRL9R
400,9,Top,0,0,0,1,2,L,R,R,R,0.966,0.09339235,0.966523,0.000523,0002RRR9L
330,8,Top,1,1,0,1,2,R,L,L,L,0.766,0.4275499,0.854457,0.088457,1102LLL8R
570,8,Top,1,1,0,1,2,L,R,L,L,0.766,0.3831043,0.8595465,0.0935465,1102RLL8L
361,8,Top,1,0,0,1,0,R,L,L,R,0.664,0.8285081,0.735982,0.071982,1000LLR8R
537,9,Top,1,0,0,1,1,L,R,L,L,0.829,0.44145755,0.8491745,0.0201745,1001RLL9L
279,8,Top,0,0,1,1,1,R,L,R,L,0.632,1.0204644,0.639704,0.007704,0011LRL8R
541,9,Top,0,1,0,1,1,L,R,L,L,0.773,0.62042515,0.7847755,0.0117755,0101RLL9L
305,9,Top,1,0,0,1,2,R,L,L,L,0.924,0.1801752,0.9364725,0.0124725,1002LLL9R
374,8,Top,0,1,1,1,1,R,L,L,R,0.534,1.40470635,0.5145405,-0.0194595,0111LLR8R
601,8,Top,1,0,0,1,0,L,L,R,R,0.664,0.84817655,0.7293905,0.0653905,1000LRR8L
356,9,Top,1,0,1,1,2,R,L,L,R,0.833,0.3991874,0.863589,0.030589,1012LLR9R
297,9,Top,1,0,0,1,1,R,L,L,L,0.829,0.4447156,0.852963,0.023963,1001LLL9R
250,9,Top,1,1,0,1,1,R,L,R,L,0.715,0.83908485,0.7325615,0.0175615,1101LRL9R
288,9,Top,0,0,0,1,0,R,L,L,L,0.841,0.4519699,0.854774,0.013774,0000LLL9R
739,9,Top,1,1,1,1,2,L,L,L,R,0.762,0.7060309,0.771303,0.009303,1112LLR9L
525,8,Top,0,1,0,1,2,L,R,L,R,0.788,0.3245518,0.880926,0.092926,0102RLR8L
584,9,Top,0,0,0,1,1,L,L,R,R,0.912,0.2418073,0.9188205,0.0068205,0001LRR9L
462,8,Top,0,1,1,1,0,L,R,R,L,0.409,2.11853195,0.296425,-0.112575,0110RRL8L
314,8,Top,1,1,0,1,0,R,L,L,L,0.534,1.3854119,0.576909,0.042909,1100LLL8R
607,8,Top,0,0,1,1,0,L,L,R,R,0.542,1.4192893,0.520055,-0.021945,0010LRR8L
524,8,Top,1,0,1,1,2,L,R,L,R,0.746,0.42282815,0.8558865,0.1098865,1012RLR8L
327,8,Top,0,0,1,1,1,R,L,L,L,0.632,1.00263795,0.6463065,0.0143065,0011LLL8R
567,8,Top,0,0,1,1,1,L,R,L,L,0.632,1.0316014,0.6372815,0.0052815,0011RLL8L
367,8,Top,0,0,1,1,0,R,L,L,R,0.542,1.39662905,0.5300025,-0.0119975,0010LLR8R
503,9,Top,0,0,1,1,2,L,R,L,R,0.867,0.3307797,0.8823175,0.0153175,0012RLR9L
464,8,Top,0,0,0,1,1,L,R,R,L,0.806,0.240713,0.918716,0.112716,0001RRL8L
439,9,Top,0,0,1,1,0,L,R,R,L,0.559,1.3922525,0.527761,-0.031239,0010RRL9L
489,9,Top,1,0,0,1,1,L,R,L,R,0.829,0.4376893,0.851809,0.022809,1001RLR9L
757,8,Top,0,1,0,1,1,L,L,L,R,0.702,0.6166416,0.788229,0.086229,0101LLR8L
267,8,Top,1,1,1,1,0,R,L,R,L,0.371,2.3498742,0.316757,-0.054243,1110LRL8R
501,9,Top,0,1,0,1,2,L,R,L,R,0.887,0.3202033,0.8841375,-0.0028625,0102RLR9L
209,9,Top,1,0,0,1,2,R,L,R,R,0.924,0.1844407,0.9348175,0.0108175,1002LRR9R
432,9,Top,0,0,0,1,0,L,R,R,L,0.841,0.46863175,0.8501685,0.0091685,0000RRL9L
486,9,Top,0,1,1,1,0,L,R,L,R,0.39,2.1264196,0.298911,-0.091089,0110RLR9L
521,8,Top,1,0,0,1,2,L,R,L,R,0.816,0.1888458,0.932155,0.116155,1002RLR8L
545,9,Top,1,0,0,1,2,L,R,L,L,0.924,0.19347615,0.9313175,0.0073175,1002RLL9L
456,8,Top,0,0,0,1,0,L,R,R,L,0.753,0.4663682,0.8504495,0.0974495,0000RRL8L
542,9,Top,0,1,1,1,1,L,R,L,L,0.552,1.41418175,0.508595,-0.043405,0111RLL9L
504,8,Top,0,0,0,1,0,L,R,L,R,0.753,0.45637865,0.854143,0.101143,0000RLR8L
